waiting,eruption
78,4.4
74,3.9
68,4.0
76,4.0
80,3.5
84,4.1
50,2.3
93,4.7
55,1.7
76,4.9
58,1.7
74,4.6
75,3.4
80,4.3
56,1.7
80,3.9
69,3.7
57,3.1
90,4.0
42,1.8
91,4.1
51,1.8
79,3.2
53,1.9
82,4.6
51,2.0
76,4.5
82,3.9
84,4.3
53,2.3
86,3.8
51,1.9
85,4.6
45,1.8
88,4.7
51,1.8
80,4.6
49,1.9
82,3.5
75,1.0
73,3.7
67,3.7
68,4.3
86,3.6
72,3.8
75,3.8
75,3.8
66,2.5
84,4.5
70,4.1
79,3.7
60,3.8
86,3.4
71,4.0
67,2.3
81,4.4
76,4.1
83,4.3
76,3.3
55,2.0
73,4.3
56,2.9
83,4.6
57,1.9
71,3.6
72,3.7
55,1.8
75,4.6
73,3.5
83,3.7
50,1.7
95,4.6
51,1.7
82,4.0
54,1.8
83,4.4
51,1.9
80,4.6
78,2.9
81,3.5
53,2.0
89,4.3
44,1.8
78,4.1
61,1.8
73,4.7
75,4.2
73,3.9
77,3.7
55,1.8
86,4.5
48,2.0
77,4.2
73,4.4
70,4.1
88,4.1
75,4.0
83,4.1
61,2.7
78,4.6
61,1.9
81,4.5
51,2.0
80,4.8
79,4.1
82,4.1
80,4.2
76,4.5
56,1.9
82,4.7
47,2.0
76,4.3
76,4.7
61,2.5
75,4.3
72,4.4
74,4.4
69,4.3
78,4.6
52,2.1
91,4.8
66,4.1
71,4.0
75,4.0
81,4.4
77,4.1
74,4.3
70,4.0
83,3.9
53,3.2
82,4.5
62,2.2
73,4.7
84,4.6
47,2.0
58,2.2
82,4.8
77,4.3
75,3.8
77,4.0
77,4.1
53,1.8
75,4.4
78,4.0
51,2.2
81,5.1
52,1.9
76,5.0
73,4.4
84,4.5
72,3.8
89,4.3
75,4.4
57,2.2
81,4.8
49,1.9
84,4.6
87,4.7
43,1.8
94,4.8
45,2.0
81,4.4
59,2.5
82,4.3
80,4.4
54,1.9
54,1.9
75,4.7
73,4.3
57,2.2
80,4.7
51,2.3
77,4.6
66,3.3
77,4.2
60,2.9
86,4.6
62,3.3
75,4.2
67,2.6
69,4.6
84,3.7
58,1.8
90,4.7
82,4.5
71,4.5
80,4.8
51,2.0
80,4.8
62,1.9
84,4.7
51,2.0
81,5.1
83,4.3
84,4.8
72,3.0
54,2.1
75,4.6
74,4.0
51,2.2
84,5.2
91,5.1
60,2.9
80,4.3
54,2.1
80,4.7
70,4.5
60,1.7
86,4.2
78,4.3
51,1.7
83,4.4
76,4.2
51,2.2
90,4.7
71,4.0
49,1.8
88,4.7
52,1.8
79,4.5
61,2.1
81,4.2
48,2.1
63,2.0
